State_And_County_FIPS_Code,Population_Size,Population_Density,Poverty,Age_19_Under,Age_19_64,Age_65_84,Age_85_and_Over,White,Black,Native_American,Asian,Hispanic,ALE,Health_Status,LBW,VLBW,Premature,Under_18,Over_40,Late_Care,Infant_Mortality,Unmarried,Brst_Cancer,Col_Cancer,CHD,Lung_Cancer,Suicide,No_HS_Diploma,Unemployed,Sev_Work_Disabled,Major_Depression,Recent_Drug_Use,Ecol_Rpt,Ecol_Exp,Salm_Rpt,Salm_Exp,Shig_Rpt,Shig_Exp,FluB_Rpt,FluB_Exp,HepA_Rpt,HepA_Exp,HepB_Rpt,HepB_Exp,Pert_Rpt,Pert_Exp,Syphilis_Rpt,Syphilis_Exp,No_Exercise,Obesity,Smoker,Diabetes,Uninsured,HPSA_Ind
27-111,57658,29,9.6,22.8,58.0,15.8,3.3,98.1,0.4,0.5,0.5,1.8,78.9,13.7,5.4,0.8,8.5,2.5,1.7,16.3,4.8,27.3,20.4,22.2,129.5,40.3,14.6,7456,1425,928,3248,3105,11,6,35,37,5,9,6,3,1,6,3,6,3,9,0,3,23.9,23.5,19.8,5.5,6532,2
28-27,29002,52,28.3,33.5,54.9,10.2,1.4,25.6,73.3,0.0,0.6,1.2,70.1,22.1,12.2,2.8,19.8,12.0,1.0,20.2,17.0,74.5,43.4,29.9,220.4,69.6,12.0,6309,1309,926,1536,1335,0,0,29,29,25,14,0,0,1,3,4,3,0,2,23,5,27.8,27.0,26.9,9.1,7180,1
34-9,99286,389,9.6,22.4,57.1,17.2,3.3,93.3,5.0,0.2,0.8,3.9,76.6,15.9,6.3,1.0,11.4,3.0,3.1,18.0,8.9,35.3,33.3,26.6,201.8,63.2,7.2,12751,3756,2183,5340,4839,6,10,108,82,21,15,1,5,29,15,23,5,3,26,0,0,27.3,19.9,24.1,9.5,11062,2
5-83,22944,32,16.4,24.9,59.0,14.0,2.1,95.7,1.3,0.7,0.8,1.6,75.5,28.4,7.5,1.3,10.3,7.4,1.1,24.4,4.2,29.2,27.3,21.6,243.6,84.4,13.9,4675,470,772,1472,1265,5,0,49,40,11,18,0,0,20,9,20,7,0,2,1,22,34.5,29.5,34.3,8.1,3218,1
48-453,888185,898,13.9,26.3,66.8,6.1,0.8,83.4,8.8,0.7,5.5,31.4,78.2,13.3,7.0,1.3,11.7,4.1,2.6,18.3,5.8,27.9,23.6,18.4,149.3,45.3,12.9,86101,22666,19733,46892,39327,19,25,407,356,384,356,0,25,130,127,221,102,230,76,69,153,19.2,18.7,19.6,5.8,116218,2
35-11,2016,1,17.8,20.2,54.1,20.7,5.1,98.3,0.2,1.1,0.2,34.9,77.0,15.5,8.1,-1111.1,15.2,4.7,-1111.1,35.1,-1111.1,28.9,-1111.1,-1111.1,207.3,40.1,-1111.1,399,51,35,137,123,0,0,6,3,1,1,0,0,0,2,2,1,2,2,1,0,-1111.1,-1111.1,-1111.1,7.5,565,1
21-1,17573,43,20.0,24.1,60.8,13.2,1.9,95.8,3.0,0.2,0.4,0.7,75.4,32.1,7.9,1.6,11.3,6.0,1.3,14.8,10.5,23.3,17.1,21.4,177.3,77.7,11.7,4702,490,1154,1160,1009,1,0,22,27,4,7,1,0,4,3,1,3,0,5,0,5,38.8,27.3,32.0,8.5,3576,2
40-87,30096,53,10.9,24.9,62.0,11.9,1.2,89.6,0.8,6.0,0.3,5.3,75.0,14.5,7.5,1.7,12.3,3.8,1.3,13.8,11.6,24.5,12.8,17.2,247.5,63.0,15.9,4159,599,693,1838,1339,0,1,23,24,28,10,2,0,5,3,5,3,0,4,0,3,28.2,25.7,22.8,6.9,4589,2
20-23,2946,3,9.8,21.2,53.3,19.7,5.8,99.2,0.1,0.0,0.4,4.3,78.1,15.5,2.5,-1111.1,8.5,2.5,-1111.1,11.0,-1111.1,12.0,-1111.1,24.9,120.8,22.2,-1111.1,309,69,44,194,139,0,1,10,4,0,0,0,0,0,1,1,0,0,1,0,0,-1111.1,-1111.1,12.9,10.4,576,1
6-35,34751,8,14.9,20.7,70.4,7.7,1.2,84.3,9.5,3.1,1.4,14.9,77.1,-1111.1,6.6,1.1,9.6,3.3,1.1,17.9,7.2,17.2,16.8,11.8,188.2,51.7,15.8,4828,993,1841,1930,2571,2,2,0,24,0,7,0,0,20,3,3,3,2,2,0,2,-1111.1,-1111.1,-1111.1,-1111.1,4118,2
