CHSI_State_Name,CHSI_County_Name,Population_Size,Population_Density,Poverty,Age_19_Under,Age_19_64,Age_65_84,Age_85_and_Over,White,Black,Native_American,Asian,Hispanic,ALE,Health_Status,LBW,VLBW,Premature,Under_18,Over_40,Late_Care,Infant_Mortality,Unmarried,Brst_Cancer,Col_Cancer,CHD,Lung_Cancer,Suicide,No_HS_Diploma,Unemployed,Sev_Work_Disabled,Major_Depression,Recent_Drug_Use,Ecol_Rpt,Ecol_Exp,Salm_Rpt,Salm_Exp,Shig_Rpt,Shig_Exp,FluB_Rpt,FluB_Exp,HepA_Rpt,HepA_Exp,HepB_Rpt,HepB_Exp,Meas_Rpt,Meas_Exp,Pert_Rpt,Pert_Exp,CRS_Rpt,CRS_Exp,Syphilis_Rpt,Syphilis_Exp,No_Exercise,Few_Fruit_Veg,Obesity,High_Blood_Pres,Smoker,Diabetes,Uninsured,HPSA_Ind
Connecticut,Middlesex,163214,442.0,5.1,23.3,62.9,11.2,2.6,91.8,4.7,0.2,2.1,3.5,79.2,11.1,6.9,1.4,9.7,0.9,4.6,9.0,4.6,18.2,25.7,18.1,131.2,48.1,7.4,12744.0,3854.0,4010.0,11674,10553,11.0,10.0,36.0,57.0,7.0,19.0,6.0,5.0,9.0,10.0,7.0,5.0,0.0,0.0,4.0,19.0,0.0,0.0,0.0,5.0,18.0,73.5,18.8,25.2,18.3,5.2,11370.0,2
Connecticut,New Haven,846766,1398.0,9.4,24.9,61.2,11.1,2.8,82.4,12.6,0.3,3.3,11.7,78.0,13.6,8.3,1.7,10.6,3.0,3.1,11.0,6.8,34.6,26.2,17.6,144.3,51.0,7.6,96328.0,23141.0,21587.0,59388,56189,22.0,25.0,325.0,326.0,46.0,100.0,38.0,25.0,149.0,100.0,37.0,50.0,0.0,0.0,19.0,75.0,0.0,0.0,17.0,25.0,25.4,70.5,21.0,25.4,20.1,7.3,92560.0,2
Connecticut,New London,266618,400.0,6.6,24.7,62.2,11.0,2.1,87.6,6.0,0.9,3.2,5.9,78.8,12.0,6.6,1.3,9.1,2.2,3.1,12.1,6.7,28.7,20.7,22.0,149.7,60.0,10.8,25168.0,6553.0,8486.0,18761,17581,14.0,16.0,106.0,102.0,15.0,55.0,13.0,8.0,32.0,24.0,10.0,16.0,0.0,0.0,19.0,24.0,0.0,0.0,1.0,8.0,20.3,72.0,19.3,25.3,21.3,6.6,23723.0,2
Connecticut,Tolland,147634,360.0,5.3,24.2,65.3,9.0,1.6,92.6,3.4,0.2,2.8,3.4,78.7,9.2,6.4,1.3,9.2,0.9,3.7,9.0,4.8,16.1,20.7,19.5,155.3,56.8,6.5,10162.0,3374.0,2492.0,10524,11261,9.0,9.0,30.0,51.0,0.0,17.0,4.0,4.0,9.0,9.0,4.0,4.0,0.0,0.0,5.0,17.0,0.0,0.0,4.0,4.0,17.8,73.3,18.7,20.2,18.7,4.2,11139.0,2
Connecticut,Windham,115826,226.0,8.1,24.5,63.7,9.7,2.2,94.7,2.3,0.5,1.1,7.4,76.8,13.4,7.3,1.3,10.2,3.0,2.5,13.5,5.3,37.7,28.7,26.0,188.0,62.9,10.4,15624.0,3325.0,1793.0,8177,8035,3.0,7.0,44.0,43.0,3.0,13.0,5.0,3.0,6.0,7.0,6.0,3.0,0.0,0.0,19.0,13.0,0.0,0.0,0.0,0.0,24.9,71.2,23.5,29.8,24.2,7.4,11524.0,2
Delaware,Kent,143968,244.0,10.6,26.3,61.4,10.8,1.5,73.7,22.0,0.6,1.9,3.7,75.8,14.0,9.5,1.9,12.9,4.3,1.8,22.1,11.0,40.5,22.8,19.7,217.2,73.1,11.0,19099.0,2670.0,3114.0,8167,9653,2.0,4.0,51.0,87.0,31.0,43.0,0.0,4.0,5.0,12.0,5.0,8.0,0.0,0.0,3.0,8.0,0.0,0.0,2.0,4.0,26.9,80.4,25.2,28.6,24.6,8.5,17333.0,2
Delaware,New Castle,523008,1227.0,8.2,25.1,63.3,9.9,1.6,72.3,22.5,0.3,3.6,6.6,76.5,12.2,10.0,2.0,13.6,3.7,2.5,8.2,9.4,38.5,25.5,21.3,186.0,56.9,11.1,50065.0,12469.0,11659.0,30114,34566,18.0,31.0,163.0,199.0,522.0,107.0,0.0,15.0,25.0,46.0,41.0,31.0,0.0,0.0,6.0,46.0,0.0,0.0,23.0,15.0,23.0,78.2,20.5,25.8,22.1,6.6,51503.0,2
Delaware,Sussex,176548,188.0,10.0,21.4,59.1,17.2,2.2,83.5,14.1,0.6,0.9,5.8,76.5,16.0,7.9,1.7,13.2,4.2,2.0,24.7,8.5,48.9,26.0,21.6,184.5,62.6,11.2,29734.0,3333.0,5203.0,10618,10978,5.0,5.0,88.0,74.0,46.0,15.0,0.0,5.0,10.0,25.0,11.0,10.0,0.0,0.0,4.0,30.0,0.0,0.0,7.0,5.0,27.9,78.9,24.5,32.5,24.7,8.9,21623.0,2
District of Columbia,Washington,550521,8966.0,17.5,21.5,66.3,10.5,1.8,38.0,57.0,0.3,3.2,8.4,72.0,12.2,11.5,2.5,15.2,4.7,4.1,24.3,10.9,55.8,34.5,23.7,255.7,55.4,6.0,85615.0,19159.0,15471.0,39452,38591,4.0,17.0,218.0,237.0,198.0,237.0,2.0,17.0,204.0,85.0,48.0,68.0,0.0,0.0,7.0,51.0,0.0,0.0,149.0,102.0,22.2,68.1,21.3,26.7,20.4,7.8,,2
Florida,Alachua,223852,256.0,16.1,23.7,66.1,9.0,1.2,73.7,20.0,0.3,4.4,6.3,76.4,10.9,8.8,1.8,12.7,3.5,2.5,15.3,11.0,38.7,27.1,18.0,125.1,61.3,16.3,15317.0,3553.0,7283.0,12219,15278,7.0,7.0,175.0,106.0,78.0,66.0,0.0,0.0,21.0,20.0,12.0,26.0,0.0,0.0,1.0,26.0,0.0,0.0,9.0,13.0,23.3,73.7,17.5,23.1,22.0,7.1,33617.0,2
Florida,Baker,24569,42.0,13.7,27.2,63.2,9.0,0.7,85.3,13.3,0.3,0.5,2.3,70.2,27.0,7.3,1.5,12.9,7.8,0.8,14.9,8.9,38.7,33.0,25.6,259.5,71.1,11.9,4348.0,384.0,737.0,1275,1346,0.0,2.0,47.0,35.0,30.0,17.0,0.0,0.0,2.0,15.0,8.0,4.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,7.0,37.1,81.3,34.4,,33.9,10.3,2735.0,2
Florida,Bay,161558,212.0,12.8,24.6,61.4,12.8,1.2,84.4,11.3,0.8,1.9,3.1,75.3,18.5,8.4,1.7,12.9,4.1,1.7,13.3,12.6,38.3,25.9,16.0,204.2,72.3,15.4,20866.0,2962.0,6190.0,8648,8385,1.0,5.0,329.0,73.0,273.0,46.0,0.0,0.0,4.0,14.0,9.0,18.0,0.0,0.0,2.0,18.0,0.0,0.0,3.0,9.0,23.7,76.6,20.5,22.4,24.7,6.9,21318.0,2
Florida,Bradford,28118,96.0,16.2,21.9,65.4,11.5,1.3,76.3,21.9,0.4,0.8,2.9,74.2,13.5,8.4,1.7,12.9,7.2,1.4,18.5,10.4,41.2,20.6,18.9,210.3,77.5,13.4,5046.0,419.0,1000.0,1558,1519,0.0,3.0,71.0,31.0,25.0,13.0,0.0,0.0,4.0,5.0,6.0,5.0,0.0,0.0,2.0,3.0,0.0,0.0,3.0,3.0,32.2,84.3,25.9,,21.8,8.1,3409.0,2
Florida,Brevard,531250,522.0,10.1,22.0,57.9,17.7,2.4,86.9,9.4,0.4,1.9,6.0,77.9,15.5,7.7,1.5,12.5,3.3,3.0,13.4,6.5,36.7,22.7,17.9,183.1,61.2,17.5,51430.0,9110.0,15071.0,29410,27814,8.0,15.0,559.0,208.0,143.0,89.0,5.0,15.0,34.0,45.0,15.0,30.0,0.0,0.0,8.0,30.0,0.0,0.0,5.0,15.0,23.7,76.4,20.3,31.5,27.8,8.8,58996.0,2
Florida,Broward,1777638,1475.0,12.5,25.6,60.4,11.4,2.6,70.4,24.9,0.3,3.0,21.7,78.3,13.5,8.6,1.7,12.9,2.6,3.6,13.1,6.5,35.4,24.5,17.0,181.6,50.2,13.3,215578.0,35063.0,56494.0,93982,90741,12.0,51.0,782.0,459.0,417.0,255.0,55.0,0.0,327.0,204.0,150.0,153.0,1.0,0.0,7.0,153.0,0.0,0.0,359.0,204.0,25.8,70.3,18.8,24.8,18.4,7.1,264560.0,2
Florida,Calhoun,13290,23.0,18.1,23.1,62.5,12.5,1.8,81.3,15.9,1.4,0.6,4.4,74.5,15.5,8.6,1.2,12.8,7.6,1.0,10.0,9.8,38.3,21.0,20.0,252.7,79.7,13.1,2789.0,219.0,553.0,726,722,0.0,0.0,28.0,20.0,14.0,8.0,0.0,0.0,6.0,4.0,13.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,15.0,,,17.0,,,4.8,2015.0,2
Florida,Charlotte,157536,227.0,9.3,16.2,50.1,29.2,4.6,92.7,5.3,0.2,1.1,4.2,79.5,14.9,7.8,1.5,11.6,3.9,3.0,23.0,7.1,39.5,20.8,15.0,165.4,52.7,18.7,22147.0,2371.0,5075.0,9319,7812,4.0,4.0,155.0,67.0,28.0,13.0,0.0,4.0,4.0,9.0,1.0,9.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,4.0,22.9,73.2,23.1,37.6,19.9,9.1,15876.0,2
Florida,Citrus,134370,230.0,12.4,17.4,51.9,26.9,3.7,94.9,2.8,0.4,1.1,3.4,76.7,19.9,7.1,1.4,10.4,4.3,1.6,14.6,6.2,42.6,26.9,17.0,211.4,70.9,18.7,22320.0,1957.0,4843.0,7846,6849,0.0,4.0,90.0,59.0,9.0,37.0,4.0,0.0,12.0,11.0,8.0,15.0,0.0,0.0,0.0,15.0,0.0,0.0,4.0,7.0,28.7,71.9,17.6,38.9,21.8,11.6,16855.0,2
Florida,Clay,171095,285.0,7.4,26.5,63.3,9.4,0.8,86.6,8.7,0.5,2.5,5.5,75.9,12.5,7.0,1.2,11.4,2.9,1.7,10.0,7.6,28.6,23.7,21.9,222.4,83.4,16.6,15154.0,2843.0,4770.0,8959,9192,0.0,9.0,161.0,59.0,77.0,18.0,1.0,5.0,4.0,9.0,6.0,5.0,0.0,0.0,3.0,18.0,0.0,0.0,4.0,0.0,21.4,75.6,20.6,21.8,28.9,7.9,17984.0,2
Florida,Collier,307242,152.0,9.6,21.7,54.6,21.1,2.7,92.0,5.9,0.4,1.1,24.2,81.0,13.3,6.3,1.0,11.7,4.5,3.0,27.0,5.5,38.7,14.9,12.2,108.9,41.1,11.7,40191.0,4550.0,9940.0,17017,15397,11.0,8.0,244.0,124.0,138.0,25.0,7.0,8.0,10.0,41.0,13.0,17.0,0.0,0.0,4.0,50.0,0.0,0.0,7.0,8.0,21.3,73.4,19.8,29.0,17.6,8.4,35984.0,2
Florida,Columbia,64040,80.0,15.6,25.3,60.6,12.6,1.4,80.4,17.4,0.6,0.8,3.5,73.8,23.9,9.2,2.4,14.3,5.5,1.3,22.9,10.9,44.0,25.7,21.7,233.9,77.8,12.6,10688.0,983.0,3071.0,3400,3436,2.0,0.0,53.0,58.0,4.0,29.0,3.0,3.0,2.0,9.0,0.0,12.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,9.0,30.4,,24.8,,26.3,10.4,9336.0,2
Florida,DeSoto,35406,56.0,18.3,23.9,58.6,15.6,1.9,84.4,11.8,2.9,0.6,31.2,77.6,23.6,7.5,1.4,13.0,7.9,1.5,34.9,7.7,48.8,21.6,12.3,180.7,55.1,9.0,8538.0,622.0,1032.0,1914,1975,0.0,2.0,36.0,26.0,23.0,20.0,0.0,2.0,1.0,8.0,1.0,5.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,5.0,,78.5,23.9,,26.0,11.3,6924.0,2
Florida,Dixie,14647,21.0,18.6,21.7,60.3,16.5,1.5,89.3,9.5,0.5,0.3,2.1,74.2,,8.3,1.1,11.8,7.8,0.9,21.0,11.0,41.4,23.4,16.5,202.5,76.4,21.3,3501.0,224.0,745.0,812,776,1.0,1.0,30.0,23.0,20.0,8.0,1.0,0.0,3.0,9.0,2.0,4.0,0.0,0.0,1.0,8.0,0.0,0.0,2.0,5.0,,,25.3,,,7.4,2414.0,1
Florida,Duval,826436,1068.0,12.8,28.1,61.6,9.3,1.0,64.7,30.0,0.4,3.4,5.3,74.5,15.2,9.5,1.8,14.0,4.2,2.0,13.3,10.3,41.2,28.8,23.2,196.8,67.2,14.5,91506.0,17465.0,25590.0,42316,42938,6.0,24.0,899.0,337.0,1001.0,337.0,21.0,24.0,34.0,120.0,129.0,96.0,0.0,0.0,47.0,72.0,0.0,0.0,75.0,144.0,24.2,77.6,24.4,29.4,21.0,6.5,108555.0,2
Florida,Escambia,296772,448.0,15.7,26.0,59.4,13.1,1.5,71.4,23.0,0.9,2.6,2.9,75.2,18.0,10.1,2.0,15.0,4.7,2.0,15.9,11.4,42.5,25.3,19.5,177.5,68.2,12.5,34278.0,5463.0,12146.0,15660,16317,0.0,9.0,271.0,152.0,415.0,116.0,6.0,9.0,11.0,36.0,31.0,36.0,0.0,0.0,5.0,36.0,0.0,0.0,5.0,18.0,27.9,72.7,27.0,33.3,26.5,8.4,43450.0,2
Florida,Flagler,76410,158.0,8.2,18.3,56.6,22.6,2.5,88.0,9.2,0.3,1.6,6.6,78.4,16.2,6.9,1.5,11.2,3.3,3.0,10.5,7.1,32.7,30.2,17.2,126.7,53.0,12.1,8014.0,1042.0,2702.0,4412,4003,0.0,5.0,45.0,30.0,1.0,5.0,5.0,3.0,5.0,5.0,1.0,3.0,0.0,0.0,0.0,5.0,0.0,0.0,1.0,3.0,21.8,65.6,14.1,34.3,19.5,9.7,6658.0,2
Florida,Franklin,10177,19.0,14.6,21.7,62.0,14.7,1.6,88.7,10.0,0.4,0.4,1.5,74.5,,8.1,1.8,11.0,6.5,1.1,14.7,19.6,41.0,25.6,22.1,178.4,89.7,12.2,2309.0,202.0,374.0,565,520,0.0,0.0,18.0,16.0,26.0,5.0,0.0,0.0,0.0,5.0,7.0,2.0,0.0,0.0,3.0,2.0,0.0,0.0,2.0,4.0,,,11.9,,,2.7,1687.0,1
Florida,Gadsden,46428,90.0,18.0,27.0,60.8,10.8,1.4,42.6,56.4,0.3,0.3,7.9,72.9,22.6,11.4,2.0,15.0,8.4,1.2,14.5,15.6,63.1,31.2,17.8,176.0,61.3,9.6,8749.0,839.0,1567.0,2410,2460,1.0,0.0,24.0,50.0,17.0,18.0,1.0,0.0,5.0,2.0,5.0,5.0,0.0,0.0,1.0,0.0,0.0,0.0,11.0,9.0,,,29.4,,21.4,16.6,9187.0,1
