State_And_County_FIPS_Code,CHSI_State_Name,CHSI_County_Name,Population_Size,Population_Density,Poverty,Age_19_Under,Age_19_64,Age_65_84,Age_85_and_Over,White,Black,Native_American,Asian,Hispanic,ALE,Health_Status,LBW,VLBW,Premature,Under_18,Over_40,Late_Care,Infant_Mortality,Unmarried,Brst_Cancer,Col_Cancer,CHD,Lung_Cancer,Suicide,No_HS_Diploma,Unemployed,Sev_Work_Disabled,Major_Depression,Recent_Drug_Use,Ecol_Rpt,Ecol_Exp,Salm_Rpt,Salm_Exp,Shig_Rpt,Shig_Exp,FluB_Rpt,FluB_Exp,HepA_Rpt,HepA_Exp,HepB_Rpt,HepB_Exp,Pert_Rpt,Pert_Exp,Syphilis_Rpt,Syphilis_Exp,No_Exercise,Obesity,Smoker,Diabetes,Uninsured,HPSA_Ind
49-51,Utah,Wasatch,18974,16,6.3,31.6,60.3,7.3,0.8,96.7,0.5,0.8,0.8,7.4,79.0,9.5,6.8,1.4,11.0,3.3,2.3,18.4,5.3,14.1,28.0,19.5,118.1,19.8,15.1,1191,368,268,1345,704,4,4,23,17,3,13,0,0,15,6,0,1,0,4,0,0,17.0,18.1,9.3,3.5,2114,2
49-53,Utah,Washington,118885,49,11.4,29.5,53.5,14.6,2.5,95.9,0.4,1.4,1.1,6.5,80.7,14.0,5.7,0.9,10.6,2.5,1.7,28.4,5.6,15.6,21.1,13.3,103.9,23.2,18.9,8928,1967,2514,8679,4456,8,10,83,62,4,14,7,5,20,10,5,10,62,14,0,5,17.3,19.3,9.9,5.4,16267,2
49-55,Utah,Wayne,2450,1,11.5,30.6,53.9,13.3,2.1,98.9,0.2,0.4,0.4,2.7,77.6,9.9,7.1,-,8.8,3.2,1.2,20.5,-,12.5,-,-,167.9,-,-,175,77,49,176,86,0,1,2,3,0,1,0,0,3,1,0,0,0,0,0,0,-,14.4,7.4,4.9,626,2
49-57,Utah,Weber,210749,366,9.9,30.5,59.3,8.8,1.3,94.7,1.5,0.9,1.6,14.9,77.6,13.2,7.4,1.2,11.7,3.5,1.3,19.8,5.6,25.1,23.0,12.2,116.4,29.2,17.9,18856,5293,4308,15163,7807,15,12,49,79,14,24,2,6,17,12,19,6,15,24,2,0,20.1,21.8,14.6,5.7,26123,2
50-1,Vermont,Addison,36965,48,8.7,24.3,64.3,9.8,1.6,97.4,0.6,0.2,0.8,1.2,78.6,10.0,5.0,1.1,8.2,1.5,2.9,11.9,4.9,25.2,23.5,14.6,152.9,50.6,8.9,3232,711,605,2294,3742,13,4,23,22,0,4,0,2,4,4,1,4,15,5,0,2,18.6,19.7,19.5,5.8,3220,2
50-3,Vermont,Bennington,36999,55,10.0,21.9,60.3,15.1,2.6,97.7,0.7,0.2,0.8,1.2,77.9,13.7,6.4,1.1,9.0,3.4,3.3,9.7,5.6,38.7,24.6,18.4,127.6,56.1,9.0,3959,734,702,2353,3251,9,4,41,22,1,4,2,0,4,4,1,4,10,6,1,2,21.4,19.2,19.5,6.9,3494,2
50-5,Vermont,Caledonia,30440,47,11.3,22.9,63.1,11.8,2.1,97.8,0.4,0.5,0.5,0.8,77.3,13.4,6.1,0.7,7.8,2.5,2.8,11.5,4.6,34.6,33.1,21.7,170.8,51.6,11.2,3589,640,742,1913,2866,6,1,16,25,0,10,0,0,3,3,1,3,15,4,1,3,21.8,21.1,21.4,6.0,3349,2
50-7,Vermont,Chittenden,149613,278,7.6,23.7,66.1,8.8,1.4,95.1,1.0,0.2,2.3,1.2,78.7,8.4,6.3,1.1,8.5,1.4,3.6,8.9,3.5,24.4,28.0,22.0,159.3,46.3,13.5,9178,2764,2147,9329,14841,16,9,42,53,7,18,9,4,1,9,2,4,113,18,0,4,14.9,15.8,17.1,4.2,10177,2
50-9,Vermont,Essex,6602,10,12.3,21.9,63.1,12.9,2.2,97.1,0.4,0.5,0.5,0.6,77.0,17.8,5.3,0.7,7.8,3.4,1.4,14.0,-,36.1,34.6,40.2,223.2,57.7,24.6,1163,125,176,420,594,2,1,10,12,0,6,0,1,1,1,3,2,29,1,0,1,26.0,22.1,26.2,7.3,793,2
50-11,Vermont,Franklin,47914,75,9.5,25.8,63.2,9.7,1.3,96.5,0.4,1.3,0.3,0.7,76.9,11.5,6.5,1.5,9.4,2.0,1.5,7.4,8.5,31.3,29.4,26.4,240.8,62.4,10.3,5591,994,1032,2897,4175,7,5,39,32,0,12,3,0,2,5,0,2,40,12,0,2,24.1,22.6,24.0,6.3,4252,2
50-13,Vermont,Grand Isle,7703,93,7.2,21.2,66.4,11.6,0.9,97.5,0.2,0.9,0.4,0.5,78.7,9.7,8.0,1.8,11.0,2.4,3.1,10.9,8.5,26.1,-,14.9,234.1,49.1,-,870,211,170,494,688,1,1,7,9,1,2,0,0,0,3,0,1,7,4,0,0,18.4,21.3,15.3,4.2,598,2
50-15,Vermont,Lamoille,24495,53,8.8,22.9,64.9,10.5,1.7,97.2,0.6,0.5,0.5,1.0,78.0,11.4,7.1,0.7,8.6,2.0,3.6,12.4,5.0,30.0,33.6,21.8,173.1,47.1,10.0,2172,574,785,1539,2282,12,2,43,32,3,14,1,0,5,9,4,5,112,7,0,2,18.3,20.0,19.7,5.8,2485,2
