State_And_County_FIPS_Code,CHSI_State_Name,CHSI_County_Name,Population_Size,Population_Density,Poverty,Age_19_Under,Age_19_64,Age_65_84,Age_85_and_Over,White,Black,Native_American,Asian,Hispanic,ALE,Health_Status,LBW,VLBW,Premature,Under_18,Over_40,Late_Care,Infant_Mortality,Unmarried,Brst_Cancer,Col_Cancer,CHD,Lung_Cancer,Suicide,No_HS_Diploma,Unemployed,Sev_Work_Disabled,Major_Depression,Recent_Drug_Use,Ecol_Rpt,Ecol_Exp,Salm_Rpt,Salm_Exp,Shig_Rpt,Shig_Exp,FluB_Rpt,FluB_Exp,HepA_Rpt,HepA_Exp,HepB_Rpt,HepB_Exp,Pert_Rpt,Pert_Exp,Syphilis_Rpt,Syphilis_Exp,No_Exercise,Obesity,Smoker,Diabetes,Uninsured,HPSA_Ind
19-191,Iowa,Winneshiek,21234,31,7.8,22.4,61.7,12.9,3.1,98.1,0.7,0.1,0.9,1.0,80.8,9.2,5.0,1.1,8.2,1.7,1.8,14.0,3.8,16.3,19.4,26.1,149.8,38.3,4.5,2116,553,291,1242,980,16,4,27,28,0,8,0,0,4,4,0,2,1,4,0,0,29.3,19.5,13.4,4.6,1287,2
19-193,Iowa,Woodbury,102605,118,11.2,27.7,59.5,10.6,2.2,91.6,2.3,1.9,2.5,10.9,77.3,10.9,7.0,1.2,13.6,3.7,1.4,10.9,7.6,39.8,21.4,17.4,172.4,59.4,14.0,12269,2887,2984,5560,3731,6,3,39,68,43,34,0,3,9,9,3,6,0,6,1,3,26.1,23.0,28.6,4.6,13112,2
19-195,Iowa,Worth,7768,19,7.2,22.1,59.5,14.9,3.5,99.3,0.3,0.0,0.2,1.8,77.8,14.4,7.9,1.5,10.1,3.1,1.5,15.1,8.0,22.2,20.1,15.6,227.7,47.8,20.9,780,230,213,452,270,4,2,15,9,8,3,0,0,1,2,0,1,5,2,2,0,25.1,23.7,17.7,8.1,556,2
19-197,Iowa,Wright,13647,24,8.3,23.1,56.5,16.2,4.2,98.9,0.2,0.3,0.3,7.1,78.6,10.9,6.5,1.1,10.3,3.1,1.5,18.2,6.2,26.3,28.2,23.7,163.0,49.8,8.9,1494,333,196,784,477,3,4,20,16,3,6,0,0,4,4,2,1,2,4,0,0,29.0,19.3,25.7,6.4,1314,2
20-1,Kansas,Allen,13787,27,13.9,24.7,57.8,14.4,3.0,95.4,2.0,1.0,0.3,2.2,76.4,14.8,6.2,0.6,10.6,6.5,0.9,12.7,3.8,37.3,26.6,30.2,193.2,63.5,19.5,1572,395,403,871,686,0,3,12,20,2,9,0,0,9,9,1,3,2,3,0,4,33.1,27.8,26.6,8.2,1792,2
20-3,Kansas,Anderson,8182,14,12.2,25.0,55.8,15.5,3.7,98.0,0.3,0.8,0.3,1.1,76.7,23.9,7.0,1.8,9.1,3.6,1.7,15.5,6.7,23.4,37.0,29.9,194.3,56.4,17.1,1007,237,155,515,396,2,2,6,9,3,2,0,0,3,2,0,1,2,2,0,0,35.3,25.5,21.4,10.7,1171,2
20-5,Kansas,Atchison,16804,39,11.8,26.1,58.0,13.2,2.8,92.2,5.7,0.5,0.4,2.0,77.0,19.4,6.6,0.8,10.4,4.4,1.7,17.1,6.3,36.1,35.2,22.8,159.9,64.6,10.6,1612,481,229,1045,923,0,3,13,18,12,5,0,0,3,7,1,2,3,5,0,0,28.8,25.4,21.6,9.3,1698,2
20-7,Kansas,Barber,4958,4,11.3,21.5,57.3,17.5,3.7,98.3,0.5,0.7,0.1,2.1,77.4,12.1,6.9,1.6,9.4,3.5,1.2,16.5,-,20.2,26.1,17.8,203.6,56.8,32.5,495,97,82,326,249,0,2,4,7,0,2,0,0,3,3,0,1,0,1,0,0,-,14.6,18.0,3.4,690,2
20-9,Kansas,Barton,28105,31,12.4,25.5,57.0,14.4,3.1,96.5,1.6,0.5,0.4,10.4,77.9,15.9,8.0,1.1,12.5,4.2,1.4,19.1,8.4,33.4,23.6,22.7,146.6,51.2,10.5,3317,597,320,1759,1393,3,4,22,17,5,3,0,1,42,3,0,1,0,6,0,0,26.5,27.0,22.9,8.2,3707,2
20-11,Kansas,Bourbon,14997,24,14.3,25.4,57.6,13.7,3.3,94.4,3.4,0.7,0.4,1.4,76.4,24.1,6.5,1.4,12.1,5.9,1.2,12.8,7.3,32.8,19.7,25.9,197.7,48.6,14.8,1562,444,307,938,756,6,2,26,20,4,5,1,0,25,12,4,5,5,2,2,5,31.9,21.2,24.2,7.6,2042,2
20-13,Kansas,Brown,10239,18,12.8,24.9,56.3,14.6,4.3,88.3,2.1,7.3,0.5,2.4,77.0,15.1,6.1,1.6,9.1,4.3,2.2,13.5,11.5,33.8,33.1,23.0,181.6,42.5,-,1058,276,181,644,497,0,2,9,15,2,6,0,0,3,6,0,2,0,2,0,3,31.9,24.9,26.7,9.4,1416,2
20-15,Kansas,Butler,62354,44,8.4,26.4,61.2,10.7,1.7,95.5,1.6,0.9,0.6,2.6,77.7,13.1,6.3,1.3,10.7,3.7,1.7,10.7,6.5,24.5,19.4,15.0,145.4,59.3,10.5,5147,1768,998,3857,3198,5,9,43,42,17,18,3,3,16,6,4,3,9,18,0,0,22.8,25.7,21.7,6.7,5781,2
20-17,Kansas,Chase,3081,4,10.4,24.5,57.8,14.4,3.3,97.6,1.3,0.6,0.2,3.0,78.4,8.0,7.1,1.6,11.5,6.0,1.8,14.8,3.8,26.6,-,36.5,193.1,88.1,-,267,72,51,195,149,0,1,7,3,1,1,0,0,2,1,0,0,0,1,0,0,-,-,-,6.1,382,1
20-19,Kansas,Chautauqua,4109,6,13.8,21.2,54.5,19.5,4.7,94.8,0.4,3.6,0.0,1.7,75.6,-,8.4,3.0,13.7,5.7,1.9,16.9,18.8,31.3,33.2,12.4,186.4,64.3,-,549,104,76,271,208,0,0,9,5,3,2,1,0,0,3,0,0,0,1,0,0,-,-,-,14.9,626,1
20-21,Kansas,Cherokee,21555,37,14.5,25.5,59.1,13.0,2.4,92.7,0.8,3.4,0.4,1.3,75.3,18.2,6.9,1.2,10.8,5.3,0.9,19.2,6.8,31.7,29.5,25.3,274.5,73.4,13.8,2869,731,627,1345,1031,0,2,25,34,14,9,1,0,46,7,3,4,9,4,0,0,31.5,25.9,23.7,7.6,3103,2
20-23,Kansas,Cheyenne,2946,3,9.8,21.2,53.3,19.7,5.8,99.2,0.1,0.0,0.4,4.3,78.1,15.5,2.5,-,8.5,2.5,-,11.0,-,12.0,-,24.9,120.8,22.2,-,309,69,44,194,139,0,1,10,4,0,0,0,0,0,1,1,0,0,1,0,0,-,-,12.9,10.4,576,1
20-25,Kansas,Clark,2283,2,10.6,23.7,53.9,17.6,4.8,98.0,0.3,1.2,0.4,5.3,78.2,11.9,3.2,-,7.2,3.2,2.4,17.1,-,20.2,-,-,179.0,47.2,-,199,42,28,146,109,0,0,10,3,1,0,0,0,0,0,0,0,0,0,0,0,-,-,-,7.9,306,2
20-27,Kansas,Clay,8629,13,10.4,22.0,57.8,15.7,4.5,97.9,0.8,0.5,0.2,1.0,77.3,12.1,5.7,1.1,9.6,3.3,1.7,11.9,7.4,19.8,24.5,15.0,114.6,47.9,12.6,784,199,150,563,429,1,3,13,10,0,3,0,0,0,3,1,1,0,2,0,0,29.9,29.0,19.1,6.7,950,2
20-29,Kansas,Cloud,9759,14,11.4,22.7,55.4,17.3,4.6,98.4,0.4,0.2,0.5,0.9,78.7,13.0,5.9,1.2,9.9,2.9,0.9,12.4,7.4,25.3,18.5,20.1,183.0,51.2,12.6,962,211,117,634,509,0,3,6,11,0,3,0,0,5,3,0,1,1,2,0,0,25.3,20.7,19.6,9.5,1088,2
20-31,Kansas,Coffey,8683,14,9.1,24.0,60.7,12.4,2.9,97.9,0.3,0.4,0.6,1.8,76.7,11.0,6.8,1.4,11.1,3.2,1.2,10.7,6.4,22.7,17.2,14.2,153.9,65.0,-,770,294,144,552,431,0,4,8,11,1,4,0,0,5,2,2,0,1,2,0,0,16.2,23.8,17.0,6.7,958,2
20-33,Kansas,Comanche,1935,2,9.5,20.6,55.0,19.6,4.8,98.9,0.0,0.2,0.7,2.1,78.2,-,6.3,-,12.6,-,2.4,21.4,-,12.6,-,-,180.9,63.8,-,123,29,27,128,89,0,1,2,2,1,0,0,0,1,1,0,0,0,0,0,0,-,-,-,-,249,2
20-35,Kansas,Cowley,35298,31,13.4,26.1,58.7,12.5,2.7,91.6,3.3,1.8,1.7,5.9,75.6,14.4,7.6,1.7,11.5,5.1,1.1,13.0,9.1,35.9,27.4,18.2,157.1,67.9,16.9,3331,1003,577,2192,1826,0,5,20,22,1,4,0,2,1,4,0,2,1,7,0,0,32.8,29.2,23.4,8.4,4344,2
20-37,Kansas,Crawford,38222,64,15.2,23.8,61.5,11.6,3.2,93.4,2.1,1.0,1.9,3.1,75.9,15.9,7.8,1.3,13.0,3.8,1.1,12.8,6.4,36.0,27.1,28.4,246.2,55.4,16.1,3691,1120,596,2441,2221,0,2,27,31,4,10,0,0,3,4,0,4,0,2,0,2,23.8,23.6,24.8,7.0,5017,2
20-39,Kansas,Decatur,3191,4,10.9,20.9,52.8,21.3,5.0,98.8,0.7,0.0,0.3,1.7,78.3,8.1,4.1,-,7.8,3.8,-,12.9,-,19.4,-,27.3,143.4,40.4,-,314,57,179,211,152,0,1,2,4,0,0,0,0,0,1,0,0,0,1,0,0,-,-,-,4.5,553,2
20-41,Kansas,Dickinson,19209,23,9.2,23.7,58.0,15.2,3.0,97.3,0.9,0.4,0.3,3.3,77.3,14.5,7.0,1.1,10.6,3.9,1.7,13.1,6.6,24.8,22.5,17.9,198.9,47.3,12.5,1797,476,352,1228,941,1,4,37,21,4,6,0,0,3,8,1,2,0,4,0,0,29.2,27.0,23.8,5.8,1913,2
20-43,Kansas,Doniphan,7816,20,11.5,26.0,58.4,13.0,2.6,94.8,2.6,1.4,0.4,2.0,77.0,16.8,5.6,0.5,10.6,4.4,1.1,13.6,2.5,27.4,25.7,14.9,175.0,46.5,15.3,1019,281,124,488,403,3,1,9,10,1,4,0,0,4,6,0,2,0,3,0,1,31.9,29.6,21.7,9.1,842,1
20-45,Kansas,Douglas,102914,225,12.4,22.4,69.1,7.3,1.2,87.5,4.1,2.1,3.8,3.6,79.3,8.4,6.6,1.1,11.0,2.1,2.5,10.7,5.3,25.7,27.8,16.6,118.8,46.8,9.7,4409,2517,1071,6723,7285,6,10,47,76,9,20,1,5,6,10,7,10,2,20,2,0,19.3,17.0,19.2,3.6,11344,2
20-47,Kansas,Edwards,3292,5,11.0,24.0,56.0,16.1,3.9,98.4,0.4,0.6,0.5,14.0,78.2,17.4,7.2,2.0,10.5,5.7,1.5,21.6,-,25.7,-,-,186.1,50.0,-,427,61,40,210,156,1,1,6,4,0,0,0,0,2,1,0,0,10,1,0,0,-,-,13.1,8.9,537,1
20-49,Kansas,Elk,3075,5,14.9,19.9,56.4,19.3,4.5,97.1,0.2,1.0,0.3,2.3,75.6,-,9.6,-,12.9,5.0,1.8,12.9,-,23.0,23.1,29.9,210.7,66.8,-,448,79,86,206,151,0,0,3,4,0,1,1,0,0,3,0,1,0,2,0,0,-,-,-,9.8,625,1
20-51,Kansas,Ellis,26767,30,10.6,22.5,63.2,12.1,2.2,96.9,1.0,0.2,1.2,2.5,78.9,10.2,7.4,1.2,11.6,2.0,1.4,9.0,5.7,28.6,18.6,12.6,124.6,48.1,13.3,2114,578,337,1741,1643,2,3,27,16,4,3,0,1,2,3,1,3,1,4,0,1,21.3,17.2,20.1,5.0,2618,2
20-53,Kansas,Ellsworth,6343,9,9.3,18.7,61.8,15.8,3.7,94.9,4.0,0.5,0.3,3.9,77.4,-,8.2,1.0,10.0,3.7,2.3,10.2,13.1,24.9,26.3,29.8,165.7,48.4,-,697,132,116,431,326,0,2,8,7,2,2,0,0,4,2,2,1,0,1,2,0,22.5,21.7,12.2,4.9,632,2
20-55,Kansas,Finney,38988,30,13.2,34.8,57.4,6.7,1.0,93.9,1.3,1.1,2.8,41.7,77.5,12.6,7.1,1.5,12.4,6.2,1.5,34.7,7.0,40.1,24.6,23.9,175.6,44.0,6.5,7283,838,511,2143,1890,12,4,44,28,25,10,0,0,3,4,0,2,1,10,2,2,36.3,23.1,20.8,5.5,7819,2
20-57,Kansas,Ford,33751,31,11.8,32.3,57.6,8.6,1.5,94.3,2.1,0.6,2.2,45.9,76.4,11.7,7.4,1.3,11.1,5.7,1.4,28.7,11.1,40.0,29.7,24.9,170.5,57.6,8.4,6003,628,483,1920,1672,2,3,25,23,18,8,1,0,9,3,1,2,0,8,1,2,27.9,24.9,18.2,5.9,5719,2
20-59,Kansas,Franklin,26247,46,9.9,25.9,60.5,11.3,2.2,95.7,1.4,0.9,0.6,2.9,76.1,17.2,6.9,1.1,10.5,4.7,1.5,14.2,7.0,30.5,32.3,18.3,154.3,52.8,11.7,2512,791,336,1631,1347,3,5,31,27,0,7,1,0,11,10,6,2,4,7,1,0,28.4,27.2,23.5,5.5,2798,2
20-61,Kansas,Geary,24585,64,12.9,31.8,57.4,9.3,1.5,72.5,17.5,0.9,4.3,7.2,74.3,11.4,9.0,1.6,13.7,2.7,0.9,19.5,9.2,29.3,33.9,20.7,161.4,65.2,16.5,2039,745,341,1405,1193,0,1,30,23,4,9,0,0,4,3,0,3,0,4,2,3,17.6,16.7,24.8,6.5,4807,2
20-63,Kansas,Gove,2763,3,10.0,23.9,51.9,19.9,4.3,99.2,0.1,0.0,0.1,1.3,77.9,4.7,6.2,-,10.3,1.8,2.1,13.8,-,10.9,-,-,161.7,41.4,-,296,49,44,176,130,0,1,7,4,1,1,0,0,0,1,0,0,0,1,0,0,-,-,-,1.0,464,2
20-65,Kansas,Graham,2721,3,11.0,18.6,55.2,22.1,4.1,96.2,3.3,0.2,0.3,0.8,78.3,-,6.3,-,10.5,5.9,2.1,10.1,-,23.5,56.4,-,224.3,49.3,-,331,51,54,185,130,0,1,12,4,0,0,0,0,2,1,0,0,0,1,0,0,-,-,-,8.4,384,2
20-67,Kansas,Grant,7530,13,10.0,31.4,58.4,9.0,1.1,97.9,0.4,1.0,0.5,37.7,76.6,15.7,6.4,1.2,11.3,8.4,1.1,24.3,8.8,28.4,-,-,196.6,58.1,13.8,1282,152,105,435,376,0,1,13,11,3,5,0,0,3,3,0,2,7,2,0,1,-,27.3,26.9,8.2,1368,2
20-69,Kansas,Gray,5861,7,8.9,30.1,57.8,10.0,2.2,98.7,0.3,0.6,0.0,12.7,77.8,10.8,5.6,0.6,9.4,2.7,2.1,22.8,4.8,12.4,40.1,26.1,124.4,35.8,-,950,102,104,345,294,1,2,5,6,0,2,0,0,13,3,0,1,0,3,0,0,24.5,-,18.6,4.5,899,1
20-71,Kansas,Greeley,1349,2,9.1,24.7,56.9,16.0,2.4,98.1,0.2,0.7,0.8,12.0,77.9,-,8.9,-,8.9,6.1,-,26.1,-,18.3,-,-,187.2,-,-,151,33,19,85,65,0,0,4,2,5,0,0,0,0,0,0,0,0,0,0,0,-,-,-,-,242,2
20-73,Kansas,Greenwood,7338,6,13.0,21.8,56.5,17.7,3.9,97.4,0.3,1.0,0.2,2.4,75.6,20.0,6.7,1.7,10.0,4.9,1.6,17.3,15.1,30.4,33.3,22.6,258.8,72.2,20.2,999,192,120,480,352,3,1,10,9,0,3,0,0,0,5,1,1,3,2,0,0,36.2,30.8,20.1,11.9,1085,2
20-75,Kansas,Hamilton,2604,3,11.6,26.7,55.6,14.1,3.7,97.5,0.7,0.5,1.3,26.5,76.6,-,8.4,-,14.3,4.9,1.6,25.6,-,28.6,-,-,124.1,55.9,-,396,42,43,160,128,0,1,6,3,0,0,0,0,1,1,0,0,0,1,0,0,-,-,-,-,485,1
20-77,Kansas,Harper,6081,8,12.1,22.6,54.9,18.2,4.3,97.6,0.4,0.9,0.5,1.5,77.4,23.1,5.8,0.4,11.3,4.8,1.5,17.4,1.7,25.2,27.8,27.9,182.8,67.8,-,694,128,146,394,290,0,2,8,7,1,2,0,0,3,2,0,1,1,1,0,0,-,24.9,21.7,11.1,731,2
20-79,Kansas,Harvey,33843,63,8.9,25.3,58.0,13.4,3.3,95.5,1.8,0.7,0.7,9.1,78.8,15.6,6.4,1.3,9.7,3.7,1.8,16.3,3.2,24.8,29.9,14.4,128.0,47.7,9.0,3284,832,474,2121,1712,3,5,12,25,5,15,2,2,13,2,3,2,3,3,1,0,25.0,24.7,12.8,7.9,3453,2
20-81,Kansas,Haskell,4232,7,10.6,31.3,57.7,9.5,1.5,97.8,0.2,0.7,0.7,27.1,76.6,13.1,6.2,1.1,9.3,4.3,1.2,35.3,4.4,17.7,-,-,278.1,45.9,-,637,73,78,245,212,0,1,6,5,3,4,0,0,1,2,0,0,0,1,0,0,-,-,15.7,5.6,786,1
20-83,Kansas,Hodgeman,2110,2,8.9,24.9,56.5,15.0,3.6,98.1,0.9,0.3,0.0,3.6,78.2,-,7.2,-,9.6,2.9,-,20.7,-,22.6,-,41.8,120.2,-,-,185,38,28,133,108,0,0,11,3,0,0,0,0,1,0,0,0,0,0,0,0,-,-,-,-,271,1
20-85,Kansas,Jackson,13535,21,9.4,26.0,59.8,11.8,2.4,90.7,1.0,6.3,0.3,2.7,77.3,19.6,5.5,1.0,10.0,3.2,2.4,7.6,8.8,27.9,23.8,25.2,207.7,54.3,-,1079,408,259,840,688,0,2,7,14,2,4,0,0,2,5,0,1,0,4,0,0,31.0,26.9,26.4,8.9,1373,1
20-87,Kansas,Jefferson,19106,36,7.7,24.1,62.1,11.8,2.0,96.8,0.6,1.1,0.2,1.8,77.0,13.7,6.7,1.3,11.5,3.6,1.0,9.7,8.9,21.4,15.7,21.5,153.7,54.5,11.5,1422,523,294,1215,970,3,5,27,22,3,16,0,0,3,7,3,2,0,5,0,0,26.3,25.1,22.6,6.1,1599,1
20-89,Kansas,Jewell,3352,4,11.6,19.1,54.9,21.6,4.4,99.0,0.1,0.4,0.1,0.7,78.4,12.4,4.7,-,9.2,1.7,1.7,11.5,-,14.9,-,15.7,173.3,46.8,-,312,64,45,227,154,0,1,4,5,0,0,0,0,1,1,0,0,0,1,0,0,-,-,12.6,9.5,567,1
20-91,Kansas,Johnson,506562,1062,4.8,26.2,63.6,8.7,1.4,90.7,3.7,0.4,3.8,5.1,80.3,7.8,6.1,0.9,9.7,1.2,2.9,5.9,4.5,14.9,23.9,16.4,101.6,47.7,10.7,17123,13030,6393,31281,24368,20,14,123,171,42,86,7,14,18,29,8,29,27,43,11,14,16.7,17.4,16.6,4.8,34718,2
20-93,Kansas,Kearny,4516,5,9.8,31.8,57.0,10.2,1.0,97.3,0.6,1.2,0.4,27.8,76.6,14.7,5.4,0.8,10.2,5.4,1.6,28.2,4.7,30.1,-,-,234.0,41.8,-,649,92,68,260,231,0,1,15,4,2,1,0,0,0,4,0,1,0,2,0,0,-,-,-,9.0,810,2
20-95,Kansas,Kingman,8165,9,10.2,24.5,55.6,16.2,3.7,97.8,0.3,0.6,0.6,1.7,77.4,14.1,7.2,1.4,8.2,4.8,2.6,14.6,3.6,18.4,24.1,15.6,164.0,45.3,11.8,851,187,136,518,402,1,2,7,9,1,3,1,0,1,3,1,1,4,3,0,0,26.9,30.9,18.6,9.3,937,1
20-97,Kansas,Kiowa,2984,4,11.0,23.3,54.9,17.8,4.0,98.4,0.3,0.9,0.4,3.1,78.2,5.3,7.1,1.8,12.2,2.5,1.3,20.6,-,17.8,-,-,147.3,29.0,-,307,59,45,192,144,0,1,6,4,0,0,0,0,2,1,0,0,0,1,0,0,-,-,10.4,4.3,412,1
20-99,Kansas,Labette,22169,34,13.8,25.0,58.6,13.1,3.2,90.5,5.0,2.0,0.4,3.1,75.5,22.6,7.6,0.9,12.5,5.4,0.8,12.4,5.6,37.5,27.9,28.7,201.0,58.3,14.6,2523,689,582,1394,1107,1,2,36,34,26,9,1,0,8,7,1,5,1,5,0,0,34.2,27.9,25.5,6.9,2903,2
20-101,Kansas,Lane,1894,3,8.5,22.1,56.7,17.0,4.2,98.8,0.0,0.1,0.1,2.0,77.9,6.8,2.8,-,8.8,-,-,20.8,-,19.0,-,-,110.1,35.4,-,154,41,28,123,90,0,0,5,3,8,0,0,0,1,0,0,0,0,0,0,0,-,-,-,14.5,285,2
20-103,Kansas,Leavenworth,73113,158,8.3,25.6,64.3,8.9,1.2,86.2,9.8,0.8,1.4,3.6,77.0,11.7,7.1,1.2,11.1,2.8,2.3,9.1,7.2,26.9,25.5,17.2,183.7,61.5,13.5,6515,2046,955,4559,3657,3,11,28,49,19,21,1,4,2,7,1,4,3,21,2,0,21.5,20.8,21.6,5.8,6040,2
20-105,Kansas,Lincoln,3411,5,10.7,21.3,57.7,17.7,3.3,98.5,0.2,0.6,0.1,1.8,77.4,11.7,5.1,-,10.7,2.4,1.5,11.6,-,20.6,-,21.7,305.9,35.4,-,366,77,46,224,163,0,1,6,4,0,0,0,0,1,1,0,0,0,1,0,0,-,13.8,-,3.1,396,1
20-107,Kansas,Linn,9914,17,12.0,23.1,59.7,14.7,2.6,98.0,0.7,0.4,0.2,1.0,76.7,14.2,7.8,0.9,11.6,5.1,0.3,11.0,7.4,24.4,24.8,17.5,208.2,60.4,17.0,1310,359,229,638,484,1,2,12,10,1,3,0,0,4,4,1,1,2,2,0,0,29.5,25.4,27.3,6.5,1192,1
20-109,Kansas,Logan,2794,3,9.1,24.1,54.3,18.1,3.5,98.5,0.6,0.1,0.1,2.0,77.9,-,4.5,1.5,8.3,1.5,2.7,12.2,-,16.6,-,31.4,195.2,38.0,-,266,58,44,178,124,0,1,8,4,2,1,0,0,2,2,0,0,0,0,0,0,-,-,-,10.5,360,2
20-111,Kansas,Lyon,35609,42,12.9,26.2,62.1,9.4,2.4,93.6,2.7,0.7,1.7,19.2,78.0,12.0,6.6,1.0,10.8,4.6,1.2,20.8,3.7,36.3,22.7,17.3,136.2,52.3,14.5,3928,917,548,2208,2044,4,4,17,25,3,9,0,0,1,4,1,2,5,9,0,2,27.2,24.4,19.6,7.0,5155,2
20-113,Kansas,McPherson,29523,33,8.0,24.2,58.9,13.9,3.0,97.4,1.0,0.3,0.4,2.3,79.0,11.6,6.9,1.3,10.5,2.8,1.9,10.1,5.2,22.1,28.2,14.1,150.6,37.9,10.4,2750,641,354,1880,1556,2,4,27,22,4,13,1,1,5,1,1,1,3,3,0,0,24.6,23.4,13.5,6.1,1828,2
20-115,Kansas,Marion,12952,14,9.4,23.2,56.0,16.4,4.4,98.1,0.4,0.7,0.2,2.0,78.4,12.0,5.1,1.0,9.9,3.0,2.2,13.6,5.6,16.4,28.0,16.6,135.7,43.7,8.2,1381,280,197,834,657,2,4,21,15,1,5,0,0,0,4,1,1,4,4,0,0,25.7,20.8,18.2,3.5,1478,2
20-117,Kansas,Marshall,10405,12,9.9,22.2,56.3,17.6,3.8,98.4,0.3,0.4,0.3,0.8,77.8,22.2,6.0,1.1,10.3,3.4,1.3,12.2,5.1,21.0,28.2,25.3,177.3,42.6,-,1089,223,152,679,512,1,3,6,12,2,3,0,0,15,3,3,1,7,2,0,0,32.3,28.8,17.0,5.8,1152,2
20-119,Kansas,Meade,4625,5,10.1,28.8,54.1,13.9,3.2,97.9,0.5,0.6,0.5,13.1,77.8,15.2,6.4,1.2,8.0,3.0,1.9,23.7,8.4,17.2,34.9,-,177.8,35.0,-,582,80,75,276,221,1,1,11,6,2,1,0,0,1,1,0,0,0,1,0,0,-,-,14.5,9.6,703,1
20-121,Kansas,Miami,30496,53,8.0,26.0,62.5,9.9,1.7,96.2,1.6,0.6,0.3,1.8,76.9,14.8,7.7,0.9,10.5,2.4,2.5,7.8,6.7,26.4,31.6,17.3,213.5,43.0,16.3,2484,835,407,1893,1543,0,4,19,16,2,3,0,0,0,3,0,1,2,3,0,0,25.2,27.3,21.6,6.9,2325,2
20-123,Kansas,Mitchell,6420,9,10.0,24.1,54.9,16.8,4.2,98.0,0.7,0.5,0.5,1.0,78.4,11.8,5.8,0.6,9.4,3.1,2.4,14.2,3.3,20.6,27.1,17.6,165.4,39.9,-,528,131,135,411,321,2,2,5,8,1,3,0,0,1,2,1,1,0,2,2,0,25.5,16.7,18.5,3.6,661,2
20-125,Kansas,Montgomery,34570,54,13.8,24.4,57.7,14.5,3.3,87.0,6.2,3.3,0.7,3.1,75.6,18.9,8.1,1.6,13.4,5.0,1.4,14.9,12.2,39.7,21.6,25.4,171.4,68.3,18.3,4405,1013,772,2189,1699,1,2,13,29,3,9,0,0,2,4,0,4,2,2,0,2,30.5,28.0,27.1,9.1,4615,2
20-127,Kansas,Morris,6049,9,9.5,22.6,57.9,15.4,4.1,98.6,0.3,0.4,0.3,3.6,78.4,20.0,5.2,1.8,10.9,2.4,1.5,13.4,5.1,20.5,-,18.3,157.6,52.6,-,644,145,150,392,299,2,2,11,7,4,2,0,0,1,2,1,1,0,1,0,0,28.8,20.0,17.9,9.2,736,2
20-129,Kansas,Morton,3196,4,9.8,28.9,55.2,13.7,2.1,96.7,0.3,1.4,1.2,14.1,76.6,6.4,5.4,1.1,10.1,5.1,2.3,32.5,3.9,23.2,-,-,287.7,34.5,-,371,66,52,190,149,0,1,8,3,3,1,0,0,1,3,0,1,0,2,0,0,-,-,-,2.2,551,2
20-131,Kansas,Nemaha,10443,15,9.1,26.5,52.6,16.7,4.2,98.4,0.5,0.5,0.1,0.8,77.3,16.9,5.6,1.1,8.9,1.8,2.3,9.9,5.6,12.9,23.1,14.2,148.2,40.1,12.3,1118,197,147,644,510,0,5,4,14,0,4,0,0,0,2,0,0,6,2,0,0,31.4,21.9,11.4,3.9,986,2
20-133,Kansas,Neosho,16529,29,13.0,24.8,58.1,14.2,3.0,96.2,1.1,0.8,0.4,2.8,76.4,18.8,8.3,1.3,13.1,4.0,1.3,12.8,5.6,32.4,14.7,20.7,177.2,64.3,13.5,1833,451,381,1043,825,0,2,24,22,3,5,0,0,20,14,0,5,1,2,1,5,32.7,24.7,19.2,9.4,2013,2
20-135,Kansas,Ness,3009,3,9.1,20.1,53.3,21.6,5.0,99.2,0.1,0.2,0.1,2.6,78.2,15.2,6.2,-,10.0,4.7,1.8,15.3,-,21.8,41.1,-,151.8,47.5,-,349,58,40,201,133,0,1,4,5,0,1,0,0,1,1,0,0,0,1,0,0,-,-,-,10.3,426,2
20-137,Kansas,Norton,5664,6,10.6,20.1,61.5,13.6,4.8,94.4,4.3,0.5,0.7,2.5,78.3,16.3,5.5,0.9,8.6,2.0,1.8,10.4,-,20.6,31.4,23.0,137.8,58.7,-,611,101,95,378,288,0,2,11,7,4,2,0,0,0,2,0,1,0,1,0,0,-,15.3,-,7.5,665,2
20-139,Kansas,Osage,17150,24,9.5,24.2,60.3,12.8,2.7,97.7,0.3,0.7,0.3,1.5,77.6,24.8,6.6,1.0,10.4,3.4,1.6,8.1,6.4,26.9,27.8,19.0,153.6,54.1,14.5,1682,565,396,1089,860,2,8,14,23,0,10,0,0,4,5,2,0,2,5,1,0,29.9,30.6,26.4,8.0,1672,1
20-141,Kansas,Osborne,4050,5,11.6,21.5,53.6,19.5,5.4,98.9,0.1,0.2,0.4,0.4,78.4,-,6.5,-,12.3,3.5,2.3,8.8,-,23.9,47.0,21.5,259.1,67.9,-,441,89,61,266,195,0,1,6,5,3,0,0,0,0,1,0,0,0,1,0,0,-,17.6,19.2,11.0,506,1
20-143,Kansas,Ottawa,6123,8,8.0,23.4,60.1,13.8,2.7,98.1,0.6,0.5,0.2,2.0,77.4,18.8,8.3,2.0,12.8,2.9,2.9,8.5,4.8,23.8,27.7,17.5,255.4,41.7,-,586,156,138,393,298,0,2,4,7,0,2,0,0,0,2,0,1,5,2,0,0,40.0,24.6,14.5,4.4,617,2
