State_And_County_FIPS_Code	CHSI_State_Name	CHSI_County_Name	Population_Size	Population_Density	Poverty	Age_19_Under	Age_19_64	Age_65_84	Age_85_and_Over	White	Black	Native_American	Asian	Hispanic	ALE	Health_Status	LBW	VLBW	Premature	Under_18	Over_40	Late_Care	Infant_Mortality	Unmarried	Brst_Cancer	Col_Cancer	CHD	Lung_Cancer	Suicide	No_HS_Diploma	Unemployed	Sev_Work_Disabled	Major_Depression	Recent_Drug_Use	Ecol_Rpt	Ecol_Exp	Salm_Rpt	Salm_Exp	Shig_Rpt	Shig_Exp	FluB_Rpt	FluB_Exp	HepA_Rpt	HepA_Exp	HepB_Rpt	HepB_Exp	Meas_Rpt	Meas_Exp	Pert_Rpt	Pert_Exp	CRS_Rpt	CRS_Exp	Syphilis_Rpt	Syphilis_Exp	No_Exercise	Few_Fruit_Veg	Obesity	High_Blood_Pres	Smoker	Diabetes	Uninsured	HPSA_Ind
20-45	Kansas	Douglas	102914	225.0	12.4	22.4	69.1	7.3	1.2	87.5	4.1	2.1	3.8	3.6	79.3	8.4	6.6	1.1	11.0	2.1	2.5	10.7	5.3	25.7	27.8	16.6	118.8	46.8	9.7	4409.0	2517.0	1071.0	6723	7285	6.0	10.0	47.0	76.0	9.0	20.0	1.0	5.0	6.0	10.0	7.0	10.0	0.0	0.0	2.0	20.0	0.0	0.0	2.0	0.0	19.3	79.6	17.0	14.9	19.2	3.6	11344.0	2
20-51	Kansas	Ellis	26767	30.0	10.6	22.5	63.2	12.1	2.2	96.9	1.0	0.2	1.2	2.5	78.9	10.2	7.4	1.2	11.6	2.0	1.4	9.0	5.7	28.6	18.6	12.6	124.6	48.1	13.3	2114.0	578.0	337.0	1741	1643	2.0	3.0	27.0	16.0	4.0	3.0	0.0	1.0	2.0	3.0	1.0	3.0	0.0	0.0	1.0	4.0	0.0	0.0	0.0	1.0	21.3	81.2	17.2	15.4	20.1	5.0	2618.0	2
20-55	Kansas	Finney	38988	30.0	13.2	34.8	57.4	6.7	1.0	93.9	1.3	1.1	2.8	41.7	77.5	12.6	7.1	1.5	12.4	6.2	1.5	34.7	7.0	40.1	24.6	23.9	175.6	44.0	6.5	7283.0	838.0	511.0	2143	1890	12.0	4.0	44.0	28.0	25.0	10.0	0.0	0.0	3.0	4.0	0.0	2.0	0.0	0.0	1.0	10.0	0.0	0.0	2.0	2.0	36.3	84.0	23.1	25.1	20.8	5.5	7819.0	2
20-57	Kansas	Ford	33751	31.0	11.8	32.3	57.6	8.6	1.5	94.3	2.1	0.6	2.2	45.9	76.4	11.7	7.4	1.3	11.1	5.7	1.4	28.7	11.1	40.0	29.7	24.9	170.5	57.6	8.4	6003.0	628.0	483.0	1920	1672	2.0	3.0	25.0	23.0	18.0	8.0	1.0	0.0	9.0	3.0	1.0	2.0	0.0	0.0	0.0	8.0	0.0	0.0	1.0	2.0	27.9	83.0	24.9	23.0	18.2	5.9	5719.0	2
20-59	Kansas	Franklin	26247	46.0	9.9	25.9	60.5	11.3	2.2	95.7	1.4	0.9	0.6	2.9	76.1	17.2	6.9	1.1	10.5	4.7	1.5	14.2	7.0	30.5	32.3	18.3	154.3	52.8	11.7	2512.0	791.0	336.0	1631	1347	3.0	5.0	31.0	27.0	0.0	7.0	1.0	0.0	11.0	10.0	6.0	2.0	0.0	0.0	4.0	7.0	0.0	0.0	1.0	0.0	28.4	82.1	27.2	35.0	23.5	5.5	2798.0	2
20-61	Kansas	Geary	24585	64.0	12.9	31.8	57.4	9.3	1.5	72.5	17.5	0.9	4.3	7.2	74.3	11.4	9.0	1.6	13.7	2.7	0.9	19.5	9.2	29.3	33.9	20.7	161.4	65.2	16.5	2039.0	745.0	341.0	1405	1193	0.0	1.0	30.0	23.0	4.0	9.0	0.0	0.0	4.0	3.0	0.0	3.0	0.0	0.0	0.0	4.0	0.0	0.0	2.0	3.0	17.6	80.8	16.7	20.7	24.8	6.5	4807.0	2
20-79	Kansas	Harvey	33843	63.0	8.9	25.3	58.0	13.4	3.3	95.5	1.8	0.7	0.7	9.1	78.8	15.6	6.4	1.3	9.7	3.7	1.8	16.3	3.2	24.8	29.9	14.4	128.0	47.7	9.0	3284.0	832.0	474.0	2121	1712	3.0	5.0	12.0	25.0	5.0	15.0	2.0	2.0	13.0	2.0	3.0	2.0	0.0	0.0	3.0	3.0	0.0	0.0	1.0	0.0	25.0	82.4	24.7	27.2	12.8	7.9	3453.0	2
20-87	Kansas	Jefferson	19106	36.0	7.7	24.1	62.1	11.8	2.0	96.8	0.6	1.1	0.2	1.8	77.0	13.7	6.7	1.3	11.5	3.6	1.0	9.7	8.9	21.4	15.7	21.5	153.7	54.5	11.5	1422.0	523.0	294.0	1215	970	3.0	5.0	27.0	22.0	3.0	16.0	0.0	0.0	3.0	7.0	3.0	2.0	0.0	2.0	0.0	5.0	0.0	0.0	0.0	0.0	26.3	83.5	25.1	21.9	22.6	6.1	1599.0	1
20-91	Kansas	Johnson	506562	1062.0	4.8	26.2	63.6	8.7	1.4	90.7	3.7	0.4	3.8	5.1	80.3	7.8	6.1	0.9	9.7	1.2	2.9	5.9	4.5	14.9	23.9	16.4	101.6	47.7	10.7	17123.0	13030.0	6393.0	31281	24368	20.0	14.0	123.0	171.0	42.0	86.0	7.0	14.0	18.0	29.0	8.0	29.0	0.0	0.0	27.0	43.0	0.0	0.0	11.0	14.0	16.7	79.4	17.4	18.9	16.6	4.8	34718.0	2
20-99	Kansas	Labette	22169	34.0	13.8	25.0	58.6	13.1	3.2	90.5	5.0	2.0	0.4	3.1	75.5	22.6	7.6	0.9	12.5	5.4	0.8	12.4	5.6	37.5	27.9	28.7	201.0	58.3	14.6	2523.0	689.0	582.0	1394	1107	1.0	2.0	36.0	34.0	26.0	9.0	1.0	0.0	8.0	7.0	1.0	5.0	0.0	0.0	1.0	5.0	0.0	0.0	0.0	0.0	34.2	88.9	27.9	32.4	25.5	6.9	2903.0	2
