State_And_County_FIPS_Code	CHSI_State_Name	CHSI_County_Name	Population_Size	Population_Density	Poverty	Age_19_Under	Age_19_64	Age_65_84	Age_85_and_Over	White	Black	Native_American	Asian	Hispanic	ALE	Health_Status	LBW	VLBW	Premature	Under_18	Over_40	Late_Care	Infant_Mortality	Unmarried	Brst_Cancer	Col_Cancer	CHD	Lung_Cancer	Suicide	No_HS_Diploma	Unemployed	Sev_Work_Disabled	Major_Depression	Recent_Drug_Use	Ecol_Rpt	Ecol_Exp	Salm_Rpt	Salm_Exp	Shig_Rpt	Shig_Exp	FluB_Rpt	FluB_Exp	HepA_Rpt	HepA_Exp	HepB_Rpt	HepB_Exp	Meas_Rpt	Meas_Exp	Pert_Rpt	Pert_Exp	CRS_Rpt	CRS_Exp	Syphilis_Rpt	Syphilis_Exp	No_Exercise	Few_Fruit_Veg	Obesity	High_Blood_Pres	Smoker	Diabetes	Uninsured	HPSA_Ind
40-145	Oklahoma	Wagoner	64183	114.0	10.2	25.7	64.2	9.3	0.8	80.9	4.2	9.2	0.7	3.4	77.7	17.2	8.0	1.5	13.3	4.5	1.4	24.1	10.7	26.6	23.7	16.6	209.3	60.9	9.8	7850.0	1251.0	2496.0	3881	2921	2.0	12.0	24.0	41.0	41.0	21.0	3.0	0.0	17.0	9.0	9.0	9.0	0.0	0.0	6.0	6.0	0.0	0.0	0.0	3.0	28.4	89.2	24.7	30.6	28.0	7.9	8511.0	2
17-183	Illinois	Vermilion	82344	92.0	14.0	25.5	58.3	13.7	2.4	87.1	11.2	0.2	0.6	3.4	75.6	18.2	8.8	1.7	12.7	5.7	1.0	20.2	10.2	47.5	23.8	21.8	187.9	75.7	9.9	11809.0	2428.0	1698.0	4451	4780	6.0	4.0	46.0	58.0	6.0	29.0	4.0	4.0	5.0	13.0	8.0	8.0	0.0	0.0	11.0	4.0	0.0	0.0	28.0	4.0	31.2	84.3	31.8	29.2	26.0	9.0	10340.0	2
56-23	Wyoming	Lincoln	15999	4.0	9.5	26.1	61.3	11.2	1.3	98.1	0.1	0.6	0.3	2.6	78.2	12.0	7.7	1.2	11.7	3.4	2.2	13.3	6.4	16.2	25.8	20.8	129.2	24.5	19.8	1247.0	312.0	274.0	1123	765	47.0	4.0	10.0	16.0	2.0	6.0	0.0	0.0	5.0	9.0	3.0	3.0	0.0	0.0	1.0	7.0	0.0	0.0	0.0	0.0	18.9	72.7	21.2	23.7	16.1	4.4	2166.0	2
40-73	Oklahoma	Kingfisher	14302	16.0	10.5	24.8	60.1	13.1	1.9	93.5	1.6	2.8	0.2	9.3	74.6	15.5	6.5	0.8	11.0	4.4	1.9	8.7	6.7	24.9	15.7	17.9	233.8	52.3	15.6	1774.0	246.0	444.0	874	648	3.0	3.0	15.0	15.0	3.0	4.0	1.0	0.0	19.0	6.0	3.0	1.0	0.0	0.0	3.0	4.0	0.0	0.0	3.0	0.0	29.1	75.4	27.0	31.2	22.0	5.0	2205.0	2
48-423	Texas	Smith	190594	205.0	14.7	27.5	58.3	12.4	1.7	78.9	18.6	0.5	1.0	14.2	76.0	18.7	7.4	1.4	13.1	5.3	1.6	18.0	8.6	30.4	25.2	21.1	197.5	54.2	15.8	24116.0	4638.0	4207.0	9922	8141	4.0	5.0	145.0	87.0	72.0	54.0	0.0	0.0	9.0	16.0	38.0	22.0	0.0	0.0	6.0	22.0	0.0	0.0	5.0	11.0	33.2	78.0	28.1	27.7	21.0	9.6	29066.0	2
24-23	Maryland	Garrett	29909	46.0	12.5	24.4	59.9	13.5	2.2	99.0	0.5	0.0	0.2	0.5	77.2	18.3	8.7	1.8	11.5	3.5	2.1	14.1	8.8	25.8	28.2	21.9	224.7	49.5	11.4	4261.0	798.0	889.0	1610	1574	0.0	1.0	17.0	19.0	1.0	9.0	1.0	0.0	2.0	4.0	2.0	3.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	28.6	74.3	25.6	25.9	18.4	8.6	4264.0	1
55-21	Wisconsin	Columbia	55364	72.0	6.2	23.4	62.2	12.0	2.3	97.6	1.1	0.4	0.4	1.6	77.5	12.3	6.0	0.9	10.1	1.5	2.0	13.9	7.6	20.9	28.5	18.5	147.9	48.0	14.9	5293.0	1393.0	1133.0	3629	2843	9.0	5.0	44.0	42.0	6.0	8.0	3.0	3.0	0.0	8.0	1.0	3.0	0.0	0.0	4.0	13.0	0.0	0.0	0.0	0.0	23.3	82.2	23.6	23.4	23.8	5.0	3645.0	2
34-29	New Jersey	Ocean	558341	878.0	8.1	24.2	54.9	16.9	4.1	94.0	3.4	0.2	1.6	6.2	77.8	17.3	6.8	1.1	10.8	1.4	3.1	16.4	3.6	20.2	27.3	22.7	199.5	60.4	7.2	65757.0	11239.0	12263.0	29304	26603	18.0	16.0	153.0	193.0	96.0	97.0	22.0	16.0	24.0	32.0	34.0	32.0	0.0	0.0	17.0	48.0	0.0	0.0	1.0	16.0	28.4	70.7	22.8	29.3	21.5	8.0	57317.0	2
49-45	Utah	Tooele	51311	7.0	7.7	33.6	59.4	6.2	0.7	94.4	1.6	1.5	1.1	9.2	77.0	13.1	7.0	0.9	11.9	2.6	1.0	19.3	5.1	18.0	24.1	15.9	132.7	39.6	13.6	4212.0	1037.0	1224.0	3538	1892	2.0	4.0	17.0	37.0	4.0	17.0	1.0	4.0	5.0	7.0	3.0	7.0	0.0	0.0	5.0	17.0	0.0	0.0	0.0	2.0	22.4	81.9	25.2	26.5	16.9	7.6	5555.0	1
37-125	North Carolina	Moore	81685	117.0	12.2	22.8	55.9	18.5	2.9	82.8	14.9	0.8	0.7	5.0	77.7	16.1	9.0	1.7	14.3	4.9	1.6	20.0	8.4	34.6	20.1	19.6	151.2	56.8	9.9	10024.0	1742.0	1930.0	4904	5361	4.0	8.0	94.0	50.0	9.0	11.0	0.0	4.0	4.0	8.0	5.0	8.0	0.0	0.0	3.0	11.0	0.0	0.0	41.0	4.0	29.0	74.9	27.0	41.0	21.2	5.3	10019.0	2
